OBJECTID,FID_TelecomVT,TelecomNod,Mean,Mode,Cluster,Entropy,Median,StDev,IQR,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,censustractclip_Area,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_,Shape_Length,Shape_Area
11,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,143800240.0000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809,54845.565814787682029,79758084.745209127664566
12,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,214,1400000US47157022500,47,157,022500,225,Tract,6.037000000000000,168625152.0000000,215,1400000US47157022500,47157022500.000000000000000,"Census Tract 225, Shelby County, Tennessee",5293,774,41308,57776,13791.381816358367359,6961059.647167821414769
13,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,217,1400000US47157980200,47,157,980200,9802,Tract,15.936000000000000,490492864.0000000,219,1400000US47157980200,47157980200.000000000000000,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0,14920.449955171208785,9886632.740174660459161
14,1,0.000000000000000,-26.140000000000001,3.000000000000000,3.000000000000000,1.521928094890000,-30.899999999999999,14.638408383400000,13.900000000000000,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,1100141184.0000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0,79296.061566282267449,141532627.477216184139252
15,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,1,1400000US47157011700,47,157,011700,117,Tract,1.363000000000000,37997408.0000000,106,1400000US47157011700,47157011700.000000000000000,"Census Tract 117, Shelby County, Tennessee",1507,285,25921,30810,27796.522982216076343,37997409.818699918687344
16,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,32,1400000US47157003600,47,157,003600,36,Tract,0.468000000000000,13098519.0000000,31,1400000US47157003600,47157003600.000000000000000,"Census Tract 36, Shelby County, Tennessee",1767,330,21146,46524,2918.081383608582655,499795.115627156279515
17,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,33,1400000US47157004500,47,157,004500,45,Tract,0.216000000000000,6041130.0000000,37,1400000US47157004500,47157004500.000000000000000,"Census Tract 45, Shelby County, Tennessee",647,134,21574,25263,9874.390125939942664,6041130.893491758033633
18,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,34,1400000US47157005000,47,157,005000,50,Tract,0.339000000000000,9468120.0000000,39,1400000US47157005000,47157005000.000000000000000,"Census Tract 50, Shelby County, Tennessee",1038,222,14826,20312,12793.429042581377871,9468120.066728614270687
19,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,35,1400000US47157005800,47,157,005800,58,Tract,0.273000000000000,7582606.5000000,44,1400000US47157005800,47157005800.000000000000000,"Census Tract 58, Shelby County, Tennessee",944,177,11901,27880,11082.854573018759766,7582606.368224054574966
20,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,46,1400000US47157011500,47,157,011500,115,Tract,0.922000000000000,25692492.0000000,104,1400000US47157011500,47157011500.000000000000000,"Census Tract 115, Shelby County, Tennessee",2823,501,23415,26618,6081.163298505789498,1765958.573559147305787
21,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,47,1400000US47157000100,47,157,000100,1,Tract,1.616000000000000,72285776.0000000,1,1400000US47157000100,47157000100.000000000000000,"Census Tract 1, Shelby County, Tennessee",6502,569,70184,106502,7480.019664419847686,2094911.724654877558351
22,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,95,1400000US47157011300,47,157,011300,113,Tract,0.732000000000000,20581082.0000000,102,1400000US47157011300,47157011300.000000000000000,"Census Tract 113, Shelby County, Tennessee",1387,227,18783,30260,7572.381364051211676,924732.503005085512996
23,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,96,1400000US47157011400,47,157,011400,114,Tract,1.102000000000000,30763410.0000000,103,1400000US47157011400,47157011400.000000000000000,"Census Tract 114, Shelby County, Tennessee",5646,416,11226,22721,27152.337474474530609,30763408.568613484501839
24,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,97,1400000US47157011600,47,157,011600,116,Tract,0.591000000000000,16412050.0000000,105,1400000US47157011600,47157011600.000000000000000,"Census Tract 116, Shelby County, Tennessee",2449,383,17609,21994,16952.447351805487415,16192132.903054719790816
25,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,113,1400000US47157003700,47,157,003700,37,Tract,0.268000000000000,7546542.5000000,32,1400000US47157003700,47157003700.000000000000000,"Census Tract 37, Shelby County, Tennessee",1208,119,13615,20984,10278.138753305644059,6123090.673479820601642
26,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,114,1400000US47157003800,47,157,003800,38,Tract,0.277000000000000,7595320.5000000,33,1400000US47157003800,47157003800.000000000000000,"Census Tract 38, Shelby County, Tennessee",1128,130,15958,23126,8963.878697608490256,4364522.891828252002597
27,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,115,1400000US47157003900,47,157,003900,39,Tract,0.229000000000000,6356709.5000000,34,1400000US47157003900,47157003900.000000000000000,"Census Tract 39, Shelby County, Tennessee",1315,154,10969,23739,10399.420291089247257,5703912.733459909446537
28,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,116,1400000US47157004200,47,157,004200,42,Tract,0.646000000000000,28873128.0000000,35,1400000US47157004200,47157004200.000000000000000,"Census Tract 42, Shelby County, Tennessee",2682,179,59450,82311,24506.773157509600424,28718770.924813997000456
29,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,117,1400000US47157004300,47,157,004300,43,Tract,0.523000000000000,18000988.0000000,36,1400000US47157004300,47157004300.000000000000000,"Census Tract 43, Shelby County, Tennessee",1576,170,82931,108078,20064.261496568637085,18000989.363413851708174
30,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,118,1400000US47157004600,47,157,004600,46,Tract,0.495000000000000,13761481.0000000,38,1400000US47157004600,47157004600.000000000000000,"Census Tract 46, Shelby County, Tennessee",1375,157,23561,31217,11892.990028510728735,8324673.453188885003328
31,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,119,1400000US47157005300,47,157,005300,53,Tract,2.284000000000000,68989768.0000000,40,1400000US47157005300,47157005300.000000000000000,"Census Tract 53, Shelby County, Tennessee",2895,342,19781,27377,36099.134723751885758,68257113.812015295028687
32,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,120,1400000US47157005500,47,157,005500,55,Tract,1.295000000000000,36476980.0000000,41,1400000US47157005500,47157005500.000000000000000,"Census Tract 55, Shelby County, Tennessee",2078,337,17790,29063,27257.095792080122919,36255914.428350083529949
33,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,121,1400000US47157005600,47,157,005600,56,Tract,1.620000000000000,44867228.0000000,42,1400000US47157005600,47157005600.000000000000000,"Census Tract 56, Shelby County, Tennessee",3590,376,26068,34564,21227.234479546790681,23140048.157758712768555
34,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,122,1400000US47157005700,47,157,005700,57,Tract,0.559000000000000,15630515.0000000,43,1400000US47157005700,47157005700.000000000000000,"Census Tract 57, Shelby County, Tennessee",2367,421,27031,33256,14308.897255906214923,10486367.819342907518148
35,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,123,1400000US47157005900,47,157,005900,59,Tract,0.548000000000000,15283924.0000000,45,1400000US47157005900,47157005900.000000000000000,"Census Tract 59, Shelby County, Tennessee",2473,467,18456,23553,14229.540821958391462,12110033.746406864374876
36,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,1844317312.0000000,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872,32906.249648984543455,36573229.680052265524864
37,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,209,1400000US47157022220,47,157,022220,222.20,Tract,2.727000000000000,75967456.0000000,209,1400000US47157022220,47157022220.000000000000000,"Census Tract 222.20, Shelby County, Tennessee",3340,362,29329,34844,11608.755731950825066,3423644.038674413226545
38,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,214,1400000US47157022500,47,157,022500,225,Tract,6.037000000000000,168625152.0000000,215,1400000US47157022500,47157022500.000000000000000,"Census Tract 225, Shelby County, Tennessee",5293,774,41308,57776,3332.002704557310608,471924.569142313557677
39,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,217,1400000US47157980200,47,157,980200,9802,Tract,15.936000000000000,490492864.0000000,219,1400000US47157980200,47157980200.000000000000000,"Census Tract 9802, Shelby County, Tennessee",0,12,0,0,62410.291431071709667,123507866.769900336861610
40,2,0.000000000000000,-40.299999999999997,3.000000000000000,-1.000000000000000,2.251629167390000,-33.149999999999999,28.314307337500001,43.899999999999999,218,1400000US47157980300,47,157,980300,9803,Tract,37.552000000000000,1100141184.0000000,220,1400000US47157980300,47157980300.000000000000000,"Census Tract 9803, Shelby County, Tennessee",0,12,0,0,9449.157284278342559,1334267.132175910286605
41,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,22,1400000US47157022111,47,157,022111,221.11,Tract,1.605000000000000,44885872.0000000,203,1400000US47157022111,47157022111.000000000000000,"Census Tract 221.11, Shelby County, Tennessee",5066,658,31725,35282,25558.133260761071142,38064479.671522572636604
42,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,23,1400000US47157022122,47,157,022122,221.22,Tract,1.011000000000000,28202550.0000000,206,1400000US47157022122,47157022122.000000000000000,"Census Tract 221.22, Shelby County, Tennessee",4135,418,34911,48576,19706.087165537952387,23863364.402715157717466
43,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,24,1400000US47157022321,47,157,022321,223.21,Tract,1.640000000000000,45808688.0000000,211,1400000US47157022321,47157022321.000000000000000,"Census Tract 223.21, Shelby County, Tennessee",3740,626,32995,42962,8343.493398748927575,3398711.041785602923483
44,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,25,1400000US47157022700,47,157,022700,227,Tract,3.191000000000000,89273152.0000000,217,1400000US47157022700,47157022700.000000000000000,"Census Tract 227, Shelby County, Tennessee",6759,741,26465,33178,38831.613897238567006,89273147.655432552099228
45,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,201,1400000US47157021900,47,157,021900,219,Tract,5.808000000000000,165847936.0000000,199,1400000US47157021900,47157021900.000000000000000,"Census Tract 219, Shelby County, Tennessee",5409,613,37763,42255,7254.822293011443435,1119204.843094006879255
46,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,205,1400000US47157022112,47,157,022112,221.12,Tract,1.271000000000000,35342956.0000000,204,1400000US47157022112,47157022112.000000000000000,"Census Tract 221.12, Shelby County, Tennessee",6386,691,31593,37351,14623.098168574768351,9634293.740594699978828
47,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,206,1400000US47157022121,47,157,022121,221.21,Tract,1.689000000000000,47065204.0000000,205,1400000US47157022121,47157022121.000000000000000,"Census Tract 221.21, Shelby County, Tennessee",4961,501,64115,67950,28404.667514935641520,47065205.963948257267475
48,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,207,1400000US47157022130,47,157,022130,221.30,Tract,1.900000000000000,55323612.0000000,207,1400000US47157022130,47157022130.000000000000000,"Census Tract 221.30, Shelby County, Tennessee",5916,702,45552,56675,34457.910711699340027,55200980.938889667391777
49,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,211,1400000US47157022322,47,157,022322,223.22,Tract,1.602000000000000,44816076.0000000,212,1400000US47157022322,47157022322.000000000000000,"Census Tract 223.22, Shelby County, Tennessee",3867,438,34674,44066,24397.749161337891564,32102057.054811418056488
50,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,212,1400000US47157022330,47,157,022330,223.30,Tract,1.627000000000000,45233540.0000000,213,1400000US47157022330,47157022330.000000000000000,"Census Tract 223.30, Shelby County, Tennessee",5041,440,33262,40707,3031.830240691296240,398358.106263102206867
51,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,213,1400000US47157022410,47,157,022410,224.10,Tract,5.048000000000000,143800240.0000000,214,1400000US47157022410,47157022410.000000000000000,"Census Tract 224.10, Shelby County, Tennessee",6916,769,45781,51809,40851.550034244566632,64042152.646251380443573
52,3,0.000000000000000,-30.566666666700002,3.000000000000000,-1.000000000000000,1.792481250360000,-29.699999999999999,22.408004522199999,16.000000000000000,214,1400000US47157022500,47,157,022500,225,Tract,6.037000000000000,168625152.0000000,215,1400000US47157022500,47157022500.000000000000000,"Census Tract 225, Shelby County, Tennessee",5293,774,41308,57776,9057.548949023426758,2776973.442478389479220
53,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,26,1400000US47157000700,47,157,000700,7,Tract,0.964000000000000,26835498.0000000,6,1400000US47157000700,47157000700.000000000000000,"Census Tract 7, Shelby County, Tennessee",4530,748,26009,38673,21824.134153329687251,21454028.796340387314558
54,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,28,1400000US47157001700,47,157,001700,17,Tract,0.635000000000000,17715092.0000000,15,1400000US47157001700,47157001700.000000000000000,"Census Tract 17, Shelby County, Tennessee",3778,278,49747,65162,17065.582250181749259,17715092.607625618577003
55,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,29,1400000US47157002600,47,157,002600,26,Tract,0.462000000000000,12877299.0000000,21,1400000US47157002600,47157002600.000000000000000,"Census Tract 26, Shelby County, Tennessee",2733,230,62536,86810,14321.047781193978153,12877299.631476230919361
56,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,31,1400000US47157003200,47,157,003200,32,Tract,0.553000000000000,15410713.0000000,27,1400000US47157003200,47157003200.000000000000000,"Census Tract 32, Shelby County, Tennessee",3696,320,33851,43047,3371.067227018728772,277886.633231844869442
57,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,32,1400000US47157003600,47,157,003600,36,Tract,0.468000000000000,13098519.0000000,31,1400000US47157003600,47157003600.000000000000000,"Census Tract 36, Shelby County, Tennessee",1767,330,21146,46524,10122.814719528412752,5349817.729379736818373
58,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,44,1400000US47157010210,47,157,010210,102.10,Tract,1.390000000000000,38759212.0000000,87,1400000US47157010210,47157010210.000000000000000,"Census Tract 102.10, Shelby County, Tennessee",5670,555,27091,37218,14071.482869380310149,10838874.266538003459573
59,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,47,1400000US47157000100,47,157,000100,1,Tract,1.616000000000000,72285776.0000000,1,1400000US47157000100,47157000100.000000000000000,"Census Tract 1, Shelby County, Tennessee",6502,569,70184,106502,42835.667471190434298,70190866.655832171440125
60,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,48,1400000US47157000300,47,157,000300,3,Tract,1.109000000000000,30970066.0000000,3,1400000US47157000300,47157000300.000000000000000,"Census Tract 3, Shelby County, Tennessee",934,149,22024,31391,26963.110091702830687,30970066.142457671463490
61,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,49,1400000US47157000400,47,157,000400,4,Tract,0.879000000000000,25271346.0000000,4,1400000US47157000400,47157000400.000000000000000,"Census Tract 4, Shelby County, Tennessee",1782,291,19360,24972,21663.437282990555104,25271346.569375362247229
62,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,50,1400000US47157000600,47,157,000600,6,Tract,1.498000000000000,54819752.0000000,5,1400000US47157000600,47157000600.000000000000000,"Census Tract 6, Shelby County, Tennessee",1958,315,16814,28726,26086.089322891901247,43215076.720248498022556
63,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,78,1400000US47157009901,47,157,009901,99.01,Tract,6.754000000000000,205611328.0000000,82,1400000US47157009901,47157009901.000000000000000,"Census Tract 99.01, Shelby County, Tennessee",2982,394,25714,40810,77558.580966884590453,145847304.590688079595566
64,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,79,1400000US47157009902,47,157,009902,99.02,Tract,1.600000000000000,44962232.0000000,83,1400000US47157009902,47157009902.000000000000000,"Census Tract 99.02, Shelby County, Tennessee",2643,375,25489,48351,35704.239455779381387,44962232.930577933788300
65,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,80,1400000US47157010000,47,157,010000,100,Tract,2.131000000000000,59190452.0000000,84,1400000US47157010000,47157010000.000000000000000,"Census Tract 100, Shelby County, Tennessee",6940,822,30508,35726,16716.768134647190891,13199994.869989344850183
66,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,81,1400000US47157010110,47,157,010110,101.10,Tract,1.620000000000000,45044016.0000000,85,1400000US47157010110,47157010110.000000000000000,"Census Tract 101.10, Shelby County, Tennessee",7848,1102,16286,23065,32108.086230986962619,45044013.557916983962059
67,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,82,1400000US47157010120,47,157,010120,101.20,Tract,2.824000000000000,80600144.0000000,86,1400000US47157010120,47157010120.000000000000000,"Census Tract 101.20, Shelby County, Tennessee",5291,573,23313,28006,43654.576099097292172,80600144.940523311495781
68,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,83,1400000US47157010220,47,157,010220,102.20,Tract,4.047000000000000,114683528.0000000,88,1400000US47157010220,47157010220.000000000000000,"Census Tract 102.20, Shelby County, Tennessee",7238,708,30196,40041,36422.915265578834806,55862278.014207169413567
69,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,94,1400000US47157011200,47,157,011200,112,Tract,0.464000000000000,13013904.0000000,101,1400000US47157011200,47157011200.000000000000000,"Census Tract 112, Shelby County, Tennessee",1647,241,17622,26550,16066.111790622002445,13013904.639221349731088
70,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,95,1400000US47157011300,47,157,011300,113,Tract,0.732000000000000,20581082.0000000,102,1400000US47157011300,47157011300.000000000000000,"Census Tract 113, Shelby County, Tennessee",1387,227,18783,30260,20480.861238974350272,19656348.188042197376490
71,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,100,1400000US47157001600,47,157,001600,16,Tract,1.193000000000000,33634280.0000000,14,1400000US47157001600,47157001600.000000000000000,"Census Tract 16, Shelby County, Tennessee",3236,311,76071,122298,20032.732092414262297,16005198.448278849944472
72,4,0.000000000000000,-47.950000000000003,0.000000000000000,-1.000000000000000,2.251629167390000,-53.899999999999999,31.339862794799998,45.700000000000003,101,1400000US47157001900,47,157,001900,19,Tract,0.357000000000000,9895025.0000000,16,1400000US47157001900,47157001900.000000000000000,"Census Tract 19, Shelby County, Tennessee",1322,221,25250,29429,13361.672184781891701,9895024.549583205953240
