OBJECTID,FID_PowerDemandVT,PowerNodes,Mean,Mode,Cluster,Entropy,Median,StDev,IQR,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,censustractclip_Area,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_,Shape_Length,Shape_Area
59,7,0,14386.5,1,1.000000000000000,2,16386,8602,11607,48,1400000US47157000300,47,157,000300,3,Tract,1.109000000000000,30970066.0000000,3,1400000US47157000300,47157000300.000000000000000,"Census Tract 3, Shelby County, Tennessee",934,149,22024,31391,9158.460881171728033,4631363.820983557961881
60,7,0,14386.5,1,1.000000000000000,2,16386,8602,11607,78,1400000US47157009901,47,157,009901,99.01,Tract,6.754000000000000,205611328.0000000,82,1400000US47157009901,47157009901.000000000000000,"Census Tract 99.01, Shelby County, Tennessee",2982,394,25714,40810,69142.238996006344678,112276871.267201408743858
61,7,0,14386.5,1,1.000000000000000,2,16386,8602,11607,79,1400000US47157009902,47,157,009902,99.02,Tract,1.600000000000000,44962232.0000000,83,1400000US47157009902,47157009902.000000000000000,"Census Tract 99.02, Shelby County, Tennessee",2643,375,25489,48351,35704.239455779381387,44962232.930577933788300
62,7,0,14386.5,1,1.000000000000000,2,16386,8602,11607,81,1400000US47157010110,47,157,010110,101.10,Tract,1.620000000000000,45044016.0000000,85,1400000US47157010110,47157010110.000000000000000,"Census Tract 101.10, Shelby County, Tennessee",7848,1102,16286,23065,16881.271757455186162,15768288.604658931493759
63,7,0,14386.5,1,1.000000000000000,2,16386,8602,11607,82,1400000US47157010120,47,157,010120,101.20,Tract,2.824000000000000,80600144.0000000,86,1400000US47157010120,47157010120.000000000000000,"Census Tract 101.20, Shelby County, Tennessee",5291,573,23313,28006,27251.195335954824259,39032653.980567790567875
64,7,0,14386.5,1,1.000000000000000,2,16386,8602,11607,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,1844317312.0000000,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872,178024.546530147781596,810342746.367881774902344
65,8,0,13831,1,1.000000000000000,1,15162,8270,7225,47,1400000US47157000100,47,157,000100,1,Tract,1.616000000000000,72285776.0000000,1,1400000US47157000100,47157000100.000000000000000,"Census Tract 1, Shelby County, Tennessee",6502,569,70184,106502,40560.265573458913423,60317896.600952938199043
66,8,0,13831,1,1.000000000000000,1,15162,8270,7225,48,1400000US47157000300,47,157,000300,3,Tract,1.109000000000000,30970066.0000000,3,1400000US47157000300,47157000300.000000000000000,"Census Tract 3, Shelby County, Tennessee",934,149,22024,31391,18545.961685083100747,18229143.161279954016209
67,8,0,13831,1,1.000000000000000,1,15162,8270,7225,49,1400000US47157000400,47,157,000400,4,Tract,0.879000000000000,25271346.0000000,4,1400000US47157000400,47157000400.000000000000000,"Census Tract 4, Shelby County, Tennessee",1782,291,19360,24972,2583.622191355955238,172030.492536368430592
68,8,0,13831,1,1.000000000000000,1,15162,8270,7225,78,1400000US47157009901,47,157,009901,99.01,Tract,6.754000000000000,205611328.0000000,82,1400000US47157009901,47157009901.000000000000000,"Census Tract 99.01, Shelby County, Tennessee",2982,394,25714,40810,4160.968893443154229,667188.237100621452555
69,8,0,13831,1,1.000000000000000,1,15162,8270,7225,95,1400000US47157011300,47,157,011300,113,Tract,0.732000000000000,20581082.0000000,102,1400000US47157011300,47157011300.000000000000000,"Census Tract 113, Shelby County, Tennessee",1387,227,18783,30260,16823.669094596334617,13042477.147437235340476
70,8,0,13831,1,1.000000000000000,1,15162,8270,7225,96,1400000US47157011400,47,157,011400,114,Tract,1.102000000000000,30763410.0000000,103,1400000US47157011400,47157011400.000000000000000,"Census Tract 114, Shelby County, Tennessee",5646,416,11226,22721,7932.890933391476210,3971771.105331248603761
71,8,0,13831,1,1.000000000000000,1,15162,8270,7225,102,1400000US47157002000,47,157,002000,20,Tract,0.373000000000000,10442031.0000000,17,1400000US47157002000,47157002000.000000000000000,"Census Tract 20, Shelby County, Tennessee",1840,248,22926,28811,12826.069642265614675,6912042.754096582531929
72,8,0,13831,1,1.000000000000000,1,15162,8270,7225,103,1400000US47157002100,47,157,002100,21,Tract,0.298000000000000,8549448.0000000,18,1400000US47157002100,47157002100.000000000000000,"Census Tract 21, Shelby County, Tennessee",1355,198,17609,49767,12365.445785865984362,8549448.747084116563201
73,8,0,13831,1,1.000000000000000,1,15162,8270,7225,115,1400000US47157003900,47,157,003900,39,Tract,0.229000000000000,6356709.5000000,34,1400000US47157003900,47157003900.000000000000000,"Census Tract 39, Shelby County, Tennessee",1315,154,10969,23739,3912.218446717487495,667892.408685456844978
74,8,0,13831,1,1.000000000000000,1,15162,8270,7225,116,1400000US47157004200,47,157,004200,42,Tract,0.646000000000000,28873128.0000000,35,1400000US47157004200,47157004200.000000000000000,"Census Tract 42, Shelby County, Tennessee",2682,179,59450,82311,17692.845111096710752,16450157.634893214330077
75,8,0,13831,1,1.000000000000000,1,15162,8270,7225,129,1400000US47157020101,47,157,020101,201.01,Tract,53.273000000000003,1844317312.0000000,108,1400000US47157020101,47157020101.000000000000000,"Census Tract 201.01, Shelby County, Tennessee",4131,699,30479,60872,42920.171949997791671,103540842.216513603925705
76,8,0,13831,1,1.000000000000000,1,15162,8270,7225,220,1400000US47157000200,47,157,000200,2,Tract,0.408000000000000,11892734.0000000,2,1400000US47157000200,47157000200.000000000000000,"Census Tract 2, Shelby County, Tennessee",893,177,14451,23112,17124.943846944803227,11892733.850474631413817
77,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,28,1400000US47157001700,47,157,001700,17,Tract,0.635000000000000,17715092.0000000,15,1400000US47157001700,47157001700.000000000000000,"Census Tract 17, Shelby County, Tennessee",3778,278,49747,65162,6395.011703895424034,1792324.546046798350289
78,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,29,1400000US47157002600,47,157,002600,26,Tract,0.462000000000000,12877299.0000000,21,1400000US47157002600,47157002600.000000000000000,"Census Tract 26, Shelby County, Tennessee",2733,230,62536,86810,10659.671514035848304,6533711.743157992139459
79,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,32,1400000US47157003600,47,157,003600,36,Tract,0.468000000000000,13098519.0000000,31,1400000US47157003600,47157003600.000000000000000,"Census Tract 36, Shelby County, Tennessee",1767,330,21146,46524,12657.784892292384029,8352224.931956886313856
80,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,33,1400000US47157004500,47,157,004500,45,Tract,0.216000000000000,6041130.0000000,37,1400000US47157004500,47157004500.000000000000000,"Census Tract 45, Shelby County, Tennessee",647,134,21574,25263,2938.545715310801370,348161.951323308865540
81,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,48,1400000US47157000300,47,157,000300,3,Tract,1.109000000000000,30970066.0000000,3,1400000US47157000300,47157000300.000000000000000,"Census Tract 3, Shelby County, Tennessee",934,149,22024,31391,2298.399476395854890,174781.668906172708375
82,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,49,1400000US47157000400,47,157,000400,4,Tract,0.879000000000000,25271346.0000000,4,1400000US47157000400,47157000400.000000000000000,"Census Tract 4, Shelby County, Tennessee",1782,291,19360,24972,3177.886298774839815,551518.035376500221901
83,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,94,1400000US47157011200,47,157,011200,112,Tract,0.464000000000000,13013904.0000000,101,1400000US47157011200,47157011200.000000000000000,"Census Tract 112, Shelby County, Tennessee",1647,241,17622,26550,9221.387555129342218,3860340.041065148077905
84,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,95,1400000US47157011300,47,157,011300,113,Tract,0.732000000000000,20581082.0000000,102,1400000US47157011300,47157011300.000000000000000,"Census Tract 113, Shelby County, Tennessee",1387,227,18783,30260,11902.879862812986175,7538603.563377091661096
85,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,96,1400000US47157011400,47,157,011400,114,Tract,1.102000000000000,30763410.0000000,103,1400000US47157011400,47157011400.000000000000000,"Census Tract 114, Shelby County, Tennessee",5646,416,11226,22721,13508.350037468067967,7482615.142565725371242
86,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,101,1400000US47157001900,47,157,001900,19,Tract,0.357000000000000,9895025.0000000,16,1400000US47157001900,47157001900.000000000000000,"Census Tract 19, Shelby County, Tennessee",1322,221,25250,29429,12063.261379428407963,9021806.297849737107754
87,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,102,1400000US47157002000,47,157,002000,20,Tract,0.373000000000000,10442031.0000000,17,1400000US47157002000,47157002000.000000000000000,"Census Tract 20, Shelby County, Tennessee",1840,248,22926,28811,10215.011543534306838,3529988.528734635096043
88,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,104,1400000US47157002400,47,157,002400,24,Tract,0.477000000000000,13309610.0000000,19,1400000US47157002400,47157002400.000000000000000,"Census Tract 24, Shelby County, Tennessee",2445,280,19873,32953,15247.024690599700989,13309609.890925725921988
89,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,105,1400000US47157002500,47,157,002500,25,Tract,0.628000000000000,17500530.0000000,20,1400000US47157002500,47157002500.000000000000000,"Census Tract 25, Shelby County, Tennessee",2785,318,31450,56108,17777.019337577567057,17500530.214902818202972
90,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,111,1400000US47157003400,47,157,003400,34,Tract,0.355000000000000,9965540.0000000,29,1400000US47157003400,47157003400.000000000000000,"Census Tract 34, Shelby County, Tennessee",2397,311,39643,62099,2707.565416556042692,309118.780191512254532
91,9,0,20156.8,1,1.000000000000000,2,17238,8522,12000,113,1400000US47157003700,47,157,003700,37,Tract,0.268000000000000,7546542.5000000,32,1400000US47157003700,47157003700.000000000000000,"Census Tract 37, Shelby County, Tennessee",1208,119,13615,20984,11311.035266356813736,7132722.470326533541083
